-116  0.92
 207  4.1 
 129  1.8 
 361  5.30
      1.92
-344  0.66
      4.21
      0.78
 117  1.92
 187  6.7 
-193  0.76
-355  0.76
-202  0.62
-244  0.83
 256  6.11
-145  0.77
-301  0.77
 357  4.92
-380  0.81
 160  4.1 
 241  3.94
      3.40
 295  3.34
      3.42
 158  0.06
 144  2.15
 110  0.09
-286  0.62
-232  0.73
 155  4.79
  39  4.26
 -48  3.06
-403  0.81
-188  0.68
 685  7.5 
-180  0.85
  17  3.8 
 405  4.07
 657  7.3 
 738  7.3 
 630  9.0 
 357  7.2 
 789  7.9 
 423  7.2 
 394  4.43
 366  7.2 
 338  7.2 
 421  7.2 
 157  5.4 
 -13  0.44
 207  4.74
 168  4.72
 194  5.0 
  35  3.3 
 595  9.73
 528  9.77
  75  3.0 
      4.1 
 553  9.29
  70  3.0 
 190  3.0 
  15  3.0 
 513  4.66
  53  0.14
 -17  2.8 
  94  3.0 
  59  3.0 
 578  5.7 
 112  2.8 
 376  7.8 
 216  4.43
 475  4.15
 570  5.5 
 350  6.5 
      3.98
 381  6.5 
 218  5.5 
 639  6.4 
 105  3.16
  31  3.28
 292  5.8 
  67  2.65
 712  7.0 
 -47  3.93
-104  1.95
 -99  1.80
 -36  3.45
  77  3.34
 627  5.10
 111  3.15
 278  0.05
 521  7.2 
 455  5.2 
 365  6.4 
 428  5.5 
 110  4.61
 787  7.7 
 577  4.3 
 492  4.99
 469  7.0 
 504  4.23
 821  7.7 
 223  0.10
 696  6.6 
   1  2.8 
 412  7.3 
 280  1.4 
 554  4.90
 738  6.9 
 421  7.2 
 434  7.9 
 315  5.22
 437  8.6 
 354  7.81
  99  3.19
 528  3.4 
      3.19
 131  3.30
 360  6.8 
 270  5.18
 279  4.51
 338  5.49
 447  6.9 
 157  3.39
 738  6.8 
 113  3.55
 393  5.7 
  20  3.56
 156  3.21
 409  7.73
 463  7.7 
      7.7 
 483  5.1 
 598  5.7 
 319  2.4 
      9.8 
 724  9.8 
      9.8 
      9.8 
 691  9.82
      9.8 
 765  6.8 
 696  7.48
 498  5.4 
 829  7.6 
 460  3.78
 561  8.9 
 555  8.9 
      8.9 
 139  3.84
 551  6.9 
      3.77
 538  6.7 
      3.42
   3  3.56
      3.48
 541  7.1 
 520  7.1 
 556  6.8 
 -40  4.02
 791  9.7 
 -35  3.63
 202  3.53
 502  5.9 
-116  3.60
 100  3.87
  46  3.7 
  24  0.69
      9.7 
 301  1.36
      3.93
 447  9.7 
 661  9.7 
 403  1.33
  13  3.82
 362  1.32
 495  7.1 
      3.78
-129  3.50
 720  9.68
 348  5.3 
      9.7 
 698  9.7 
      3.70
 544  3.8 
      3.7 
 285  0.25
 324  1.32
 226  0.09
 290  1.5 
  46  3.7 
 -37  3.7 
 628  5.2 
  55  3.72
 531  6.3 
  57  4.02
  56  4.00
     10.4 
 537  6.5 
     10.4 
      3.85
     10.4 
 641 10.4 
     10.4 
     10.4 
1010 10.4 
1008 10.4 
 778 10.4 
     10.4 
 586  6.9 
     10.4 
 778 10.05
     10.4 
     10.4 
     10.4 
 886 10.4 
     10.4 
     10.4 
     10.4 
 897 10.42
 617 10.4 
     10.4 
 832 10.4 
     10.4 
 573  9.3 
 573 10.4 
 720  5.8 
 665 10.91
 911 11.12
 704 11.38
 887 10.4 
 637 10.4 
 340  7.4 
     10.4 
 754 10.4 
     10.4 
     10.4 
     10.4 
 841 10.4 
     10.4 
     10.4 
 116  3.70
     10.4 
     10.4 
     10.4 
 990 10.4 
 598  4.0 
     10.4 
     10.4 
 677 10.4 
     10.4 
     10.4 
     10.4 
     10.4 
 740  7.4 
  76  0.21
 628  6.8 
 726  6.70
 723 10.28
-103  4.34
 250  3.89
 228  4.90
 230  3.03
 654  5.0 
 212  4.51
 242  2.64
 640  5.22
 499  6.3 
 210  5.2 
 339  4.7 
 267  9.8 
 163  3.6 
 135  1.5 
 230  3.5 
 613  3.19
  68  4.3 
 280  2.86
 291  2.94
 162  3.4 
 173  4.21
   0  4.45
 243  4.49
 430  2.27
 448  7.83
 272  6.7 
 316  3.8 
 483  6.3 
 320  4.61
 281  5.7 
 218  4.87
 195  2.54
 603  7.6 
 601  7.5 
 201  4.21
 277  6.9 
 310  4.43
 490  9.59
 407  6.2 
 381  8.0 
 436  6.7 
 332  6.1 
 262  6.4 
      9.3 
 458  6.70
1105  9.3 
      9.3 
 308  3.1 
      9.3 
1024  9.33
 143  5.2 
      9.3 
 787  7.35
      9.3 
  18  6.3 
 542  9.38
 358  4.57
 293  4.8 
      3.6 
 610  4.9 
 585  4.6 
 331  9.9 
 414  2.2 
      4.74
 512  6.9 
 309  4.66
 375  4.3 
 645  5.7 
 618  6.8 
      4.28
 560  6.5 
 408  7.48
 214  2.10
 747  7.6 
 744  7.6 
      3.48
 613  3.6 
 560  3.6 
 320  4.70
  31  4.57
 218  5.6 
 693  6.5 
 402  3.6 
      3.6 
 407  5.4 
