 Group name	Description
--------------------------------------------------------------------------------
     BRANCH	Branch prediction miss rate/ratio
      CLOCK	Power and Energy consumption
CYCLE_ACTIVITY	Cycle Activities
       DATA	Load to store ratio
     ENERGY	Power and Energy consumption
FALSE_SHARE	False sharing
  FLOPS_AVX	Packed AVX MFLOP/s
   FLOPS_DP	Double Precision MFLOP/s
   FLOPS_SP	Single Precision MFLOP/s
     ICACHE	Instruction cache miss rate/ratio
    L2CACHE	L2 cache miss rate/ratio
         L2	L2 cache bandwidth in MBytes/s
    L3CACHE	L3 cache miss rate/ratio
         L3	L3 cache bandwidth in MBytes/s
 PORT_USAGE	Execution port utilization
   RECOVERY	Recovery duration
   TLB_DATA	L2 data TLB miss rate/ratio
  TLB_INSTR	L1 Instruction TLB miss rate/ratio
  UOPS_EXEC	UOPs execution
 UOPS_ISSUE	UOPs issueing
UOPS_RETIRE	UOPs retirement
       UOPS	UOPs execution info
